Data,
6/6/2008,12.25
7/6/2008,12.25
8/6/2008,12.25
9/6/2008,12.25
10/6/2008,12.25
11/6/2008,12.25
12/6/2008,12.25
13/06/2008,12.25
14/06/2008,12.25
15/06/2008,12.25
16/06/2008,12.25
17/06/2008,12.25
18/06/2008,12.25
19/06/2008,12.25
20/06/2008,12.25
21/06/2008,12.25
22/06/2008,12.25
23/06/2008,12.25
24/06/2008,12.25
25/06/2008,12.25
26/06/2008,12.25
27/06/2008,12.25
28/06/2008,12.25
29/06/2008,12.25
30/06/2008,12.25
1/7/2008,12.25
2/7/2008,12.25
3/7/2008,12.25
4/7/2008,12.25
5/7/2008,12.25
6/7/2008,12.25
7/7/2008,12.25
8/7/2008,12.25
9/7/2008,12.25
10/7/2008,12.25
11/7/2008,12.25
12/7/2008,12.25
13/07/2008,12.25
14/07/2008,12.25
15/07/2008,12.25
16/07/2008,12.25
17/07/2008,12.25
18/07/2008,12.25
19/07/2008,12.25
20/07/2008,12.25
21/07/2008,12.25
22/07/2008,12.25
23/07/2008,12.25
24/07/2008,13
25/07/2008,13
26/07/2008,13
27/07/2008,13
28/07/2008,13
29/07/2008,13
30/07/2008,13
31/07/2008,13
1/8/2008,13
2/8/2008,13
3/8/2008,13
4/8/2008,13
5/8/2008,13
6/8/2008,13
7/8/2008,13
8/8/2008,13
9/8/2008,13
10/8/2008,13
11/8/2008,13
12/8/2008,13
13/08/2008,13
14/08/2008,13
15/08/2008,13
16/08/2008,13
17/08/2008,13
18/08/2008,13
19/08/2008,13
20/08/2008,13
21/08/2008,13
22/08/2008,13
23/08/2008,13
24/08/2008,13
25/08/2008,13
26/08/2008,13
27/08/2008,13
28/08/2008,13
29/08/2008,13
30/08/2008,13
31/08/2008,13
1/9/2008,13
2/9/2008,13
3/9/2008,13
4/9/2008,13
5/9/2008,13
6/9/2008,13
7/9/2008,13
8/9/2008,13
9/9/2008,13
10/9/2008,13
11/9/2008,13.75
12/9/2008,13.75
13/09/2008,13.75
14/09/2008,13.75
15/09/2008,13.75
16/09/2008,13.75
17/09/2008,13.75
18/09/2008,13.75
19/09/2008,13.75
20/09/2008,13.75
21/09/2008,13.75
22/09/2008,13.75
23/09/2008,13.75
24/09/2008,13.75
25/09/2008,13.75
26/09/2008,13.75
27/09/2008,13.75
28/09/2008,13.75
29/09/2008,13.75
30/09/2008,13.75
1/10/2008,13.75
2/10/2008,13.75
3/10/2008,13.75
4/10/2008,13.75
5/10/2008,13.75
6/10/2008,13.75
7/10/2008,13.75
8/10/2008,13.75
9/10/2008,13.75
10/10/2008,13.75
11/10/2008,13.75
12/10/2008,13.75
13/10/2008,13.75
14/10/2008,13.75
15/10/2008,13.75
16/10/2008,13.75
17/10/2008,13.75
18/10/2008,13.75
19/10/2008,13.75
20/10/2008,13.75
21/10/2008,13.75
22/10/2008,13.75
23/10/2008,13.75
24/10/2008,13.75
25/10/2008,13.75
26/10/2008,13.75
27/10/2008,13.75
28/10/2008,13.75
29/10/2008,13.75
30/10/2008,13.75
31/10/2008,13.75
1/11/2008,13.75
2/11/2008,13.75
3/11/2008,13.75
4/11/2008,13.75
5/11/2008,13.75
6/11/2008,13.75
7/11/2008,13.75
8/11/2008,13.75
9/11/2008,13.75
10/11/2008,13.75
11/11/2008,13.75
12/11/2008,13.75
13/11/2008,13.75
14/11/2008,13.75
15/11/2008,13.75
